Atlanta Hawks,2009,89.6
Orlando Magic,2009,92.3
Milwaukee Bucks,2009,92.6
Indiana Pacers,2009,96.5
Detroit Pistons,2009,86.7
Chicago Bulls,2009,93.1
Cleveland Cavaliers,2009,88.7
New York Knicks,2009,96.7
Toronto Raptors,2009,92.0
New Jersey Nets,2009,89.9
Philadelphia 76ers,2009,90.0
Boston Celtics,2009,90.4
Memphis Grizzlies,2010,93.6
Houston Rockets,2010,94.0
San Antonio Spurs,2010,91.7
Dallas Mavericks,2010,92.5
Sacramento Kings,2010,94.0
Golden State Warriors,2010,100.4
Los Angeles Clippers,2010,92.6
Phoenix Suns,2010,95.3
Los Angeles Lakers,2010,92.8
Minnesota Timberwolves,2010,96.1
Oklahoma City Thunder,2010,93.1
Portland Trail Blazers,2010,87.7
Utah Jazz,2010,93.8
Denver Nuggets,2010,94.8
Washington Wizards,2010,91.6
Charlotte Bobcats,2010,90.4
Miami Heat,2010,89.6
Atlanta Hawks,2010,90.1
Orlando Magic,2010,92.0
Detroit Pistons,2010,88.5
Indiana Pacers,2010,97.1
Chicago Bulls,2010,93.1
Milwaukee Bucks,2010,91.7
Cleveland Cavaliers,2010,91.4
New Jersey Nets,2010,91.4
Philadelphia 76ers,2010,91.6
New York Knicks,2010,94.0
Toronto Raptors,2010,93.1
Boston Celtics,2010,91.6
Memphis Grizzlies,2011,91.9
New Orleans Hornets,2011,88.7
Dallas Mavericks,2011,91.3
San Antonio Spurs,2011,92.3
Sacramento Kings,2011,95.2
Los Angeles Clippers,2011,92.8
Golden State Warriors,2011,94.8
Phoenix Suns,2011,94.4
Los Angeles Lakers,2011,90.7
Minnesota Timberwolves,2011,96.5
Utah Jazz,2011,91.0
Portland Trail Blazers,2011,87.9
Denver Nuggets,2011,95.6
Oklahoma City Thunder,2011,92.7
Washington Wizards,2011,93.8
Charlotte Bobcats,2011,89.6
Atlanta Hawks,2011,89.3
Orlando Magic,2011,91.2
Miami Heat,2011,90.9
Cleveland Cavaliers,2011,93.0
Detroit Pistons,2011,89.2
Milwaukee Bucks,2011,89.8
Indiana Pacers,2011,94.7
Chicago Bulls,2011,90.4
Toronto Raptors,2011,92.9
New Jersey Nets,2011,89.9
Philadelphia 76ers,2011,91.7
New York Knicks,2011,95.6
Boston Celtics,2011,90.4
Houston Rockets,2012,91.7
Dallas Mavericks,2012,91.4
Memphis Grizzlies,2012,90.8
San Antonio Spurs,2012,92.9
Sacramento Kings,2012,94.7
Golden State Warriors,2012,92.3
Phoenix Suns,2012,92.6
Los Angeles Clippers,2012,89.2
Los Angeles Lakers,2012,90.5
Minnesota Timberwolves,2012,93.3
Portland Trail Blazers,2012,91.2
Utah Jazz,2012,91.4
Denver Nuggets,2012,94.2
Oklahoma City Thunder,2012,93.0
Charlotte Bobcats,2012,91.1
Washington Wizards,2012,92.5
Orlando Magic,2012,89.0
Atlanta Hawks,2012,90.2
Miami Heat,2012,91.2
Cleveland Cavaliers,2012,91.3
Detroit Pistons,2012,89.2
Milwaukee Bucks,2012,93.7
Indiana Pacers,2012,90.7
Chicago Bulls,2012,89.1
New Jersey Nets,2012,90.1
Toronto Raptors,2012,89.3
Philadelphia 76ers,2012,89.7
New York Knicks,2012,93.2
Boston Celtics,2012,90.4
Dallas Mavericks,2013,94.1
Houston Rockets,2013,96.1
Memphis Grizzlies,2013,88.4
San Antonio Spurs,2013,94.2
Phoenix Suns,2013,93.4
Sacramento Kings,2013,93.6
Los Angeles Lakers,2013,94.4
Golden State Warriors,2013,94.5
Los Angeles Clippers,2013,91.1
Minnesota Timberwolves,2013,92.8
Portland Trail Blazers,2013,91.4
Utah Jazz,2013,90.9
Denver Nuggets,2013,95.1
Oklahoma City Thunder,2013,93.3
Orlando Magic,2013,92.2
Charlotte Bobcats,2013,91.5
Washington Wizards,2013,92.2
Atlanta Hawks,2013,92.6
Miami Heat,2013,90.7
Cleveland Cavaliers,2013,92.3
Detroit Pistons,2013,90.8
Milwaukee Bucks,2013,94.7
Chicago Bulls,2013,89.3
Indiana Pacers,2013,90.2
Toronto Raptors,2013,90.4
Philadelphia 76ers,2013,91.0
Boston Celtics,2013,91.7
Brooklyn Nets,2013,88.8
New York Knicks,2013,89.8
Dallas Mavericks,2014,93.5
Memphis Grizzlies,2014,89.9
Houston Rockets,2014,96.3
San Antonio Spurs,2014,95.0
Los Angeles Lakers,2014,98.7
Sacramento Kings,2014,94.4
Phoenix Suns,2014,95.8
Golden State Warriors,2014,96.2
Los Angeles Clippers,2014,95.9
Utah Jazz,2014,91.4
Denver Nuggets,2014,98.1
Minnesota Timberwolves,2014,97.3
Portland Trail Blazers,2014,94.9
Oklahoma City Thunder,2014,95.4
Orlando Magic,2014,93.6
Atlanta Hawks,2014,94.6
Charlotte Bobcats,2014,92.4
Washington Wizards,2014,93.2
Miami Heat,2014,91.2
Milwaukee Bucks,2014,91.8
Detroit Pistons,2014,94.9
Cleveland Cavaliers,2014,93.1
Chicago Bulls,2014,90.2
Indiana Pacers,2014,92.5
Philadelphia 76ers,2014,99.2
Boston Celtics,2014,93.3
New York Knicks,2014,90.3
Brooklyn Nets,2014,91.4
Toronto Raptors,2014,91.8
Dallas Mavericks,2015,95.2
Memphis Grizzlies,2015,92.0
San Antonio Spurs,2015,93.8
Los Angeles Lakers,2015,94.0
Sacramento Kings,2015,95.4
Phoenix Suns,2015,96.3
Los Angeles Clippers,2015,94.7
Golden State Warriors,2015,98.3
Minnesota Timberwolves,2015,94.4
Denver Nuggets,2015,96.1
Utah Jazz,2015,90.4
Oklahoma City Thunder,2015,95.7
Portland Trail Blazers,2015,94.2
Orlando Magic,2015,93.8
Charlotte Hornets,2015,93.0
Miami Heat,2015,90.9
Washington Wizards,2015,93.7
Atlanta Hawks,2015,93.9
Detroit Pistons,2015,92.8
Indiana Pacers,2015,93.2
Milwaukee Bucks,2015,94.1
Chicago Bulls,2015,92.8
Cleveland Cavaliers,2015,92.3
New York Knicks,2015,91.2
Philadelphia 76ers,2015,95.7
Brooklyn Nets,2015,92.7
Boston Celtics,2015,95.8
Toronto Raptors,2015,92.8
Houston Rockets,2016,97.6
Memphis Grizzlies,2016,93.3
Dallas Mavericks,2016,94.3
San Antonio Spurs,2016,93.8
Los Angeles Lakers,2016,95.6
Phoenix Suns,2016,98.5
Sacramento Kings,2016,100.0
Los Angeles Clippers,2016,95.8
Golden State Warriors,2016,99.3
Minnesota Timberwolves,2016,95.2
Denver Nuggets,2016,95.7
Utah Jazz,2016,91.0
Portland Trail Blazers,2016,96.0
Oklahoma City Thunder,2016,96.7
Orlando Magic,2016,96.0
Washington Wizards,2016,98.5
Charlotte Hornets,2016,95.7
Indiana Pacers,2016,96.6
Cleveland Cavaliers,2016,93.3
Philadelphia 76ers,2016,97.9
Brooklyn Nets,2016,95.2
New York Knicks,2016,93.4
Boston Celtics,2016,98.5
